STNID,MONTH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
USC00190120,1,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,4C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
USC00190120,2,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5S,5S,5S,5S,5S,5P,-8888,-8888
USC00190120,3,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,-6666
USC00190120,4,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-8888
USC00190120,5,-6666,-6666,-6666,-6666,-6666,-6666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
USC00190120,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8888
USC00190120,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
USC00190120,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
USC00190120,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8888
USC00190120,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666
USC00190120,11,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,2C,2C,2C,3C,3C,3C,3C,-8888
USC00190120,12,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,4C,4C
USC00274399,1,5S,5S,5S,5S,5S,5S,5S,5S,5S,6S,6S,6S,6S,6S,6S,6S,6S,6S,6S,6S,6S,7S,7S,7S,7S,7S,7S,7S,7S,7S,7S
USC00274399,2,7S,7S,7S,7S,7S,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7C,7S,7S,7S,6S,6S,6P,-8888,-8888
USC00274399,3,6S,6S,6S,6S,6S,6S,6S,6S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S,5S
USC00274399,4,5S,5S,4S,4S,4S,4S,4S,4S,4S,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-8888
USC00274399,5,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-6666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
USC00274399,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8888
USC00274399,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
