STNID,MONTH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
USC00190120,1,242S,240S,239S,237S,235S,234S,233S,232S,230S,230S,229S,228S,228S,227S,227S,227S,227S,227S,227S,227S,228S,228S,229S,230S,231S,231S,232S,234S,235S,236S,237S
USC00190120,2,239S,240S,242S,243S,245S,247S,249S,250S,252S,254S,256S,258S,260S,262S,265S,267S,269S,271S,274S,276S,279S,281S,284S,286S,289S,291S,294S,297S,298S,-8888,-8888
USC00190120,3,299S,302S,305S,308S,311S,314S,317S,320S,323S,326S,329S,333S,336S,339S,343S,346S,350S,353S,357S,361S,364S,368S,372S,376S,379S,383S,387S,391S,395S,399S,403S
USC00190120,4,407S,411S,415S,419S,423S,427S,431S,435S,439S,443S,447S,451S,455S,459S,463S,467S,471S,475S,478S,482S,486S,490S,493S,497S,500S,504S,507S,511S,514S,518S,-8888
USC00190120,5,521S,525S,528S,531S,535S,538S,541S,544S,547S,551S,554S,557S,560S,563S,567S,570S,573S,576S,579S,582S,585S,589S,592S,595S,598S,601S,604S,608S,611S,614S,617S
USC00190120,6,620S,623S,626S,629S,633S,636S,639S,642S,645S,648S,651S,653S,656S,659S,662S,664S,667S,670S,672S,674S,677S,679S,681S,683S,686S,687S,689S,691S,693S,695S,-8888
USC00190120,7,696C,698C,699C,700C,701C,703C,704C,705C,706C,706C,707C,708C,708C,709C,709C,710C,710C,710C,710C,710C,711C,711C,711C,710C,710C,710C,710C,710C,709C,709C,708C
USC00190120,8,708C,707C,707C,706C,705C,705C,704C,703C,702C,701C,700C,699C,698C,697C,696C,694C,693C,691C,690C,688C,687C,685C,683C,681C,679C,677C,675C,672C,670C,668C,665C
USC00190120,9,662C,660C,657C,654C,651C,648C,645C,641C,638C,635C,631C,628C,624C,620C,616C,613C,609C,605C,601C,597C,593C,589C,585C,580C,576C,572C,568C,564C,560C,556C,-8888
USC00190120,10,551S,547S,543S,539S,535S,531S,527S,523S,519S,516S,512S,508S,504S,501S,497S,493S,490S,486S,483S,479S,476S,473S,469S,466S,463S,460S,457S,453S,450S,447S,444S
USC00190120,11,441C,438C,435C,432C,429C,426C,423C,420C,417C,414C,410C,407C,404C,401C,398C,394C,391C,388C,384C,381C,378C,374C,371C,367C,364C,360C,356C,353C,349C,345C,-8888
USC00190120,12,342C,338C,334C,331C,327C,323C,319C,316C,312C,308C,305C,301C,297C,294C,290C,287C,283C,280C,277C,274C,270C,267C,264C,262C,259C,256C,253C,251C,249C,246C,244C
USC00193229,1,230Q,228Q,226Q,225Q,223Q,222Q,221Q,220Q,219Q,218Q,218Q,217Q,217Q,217Q,217Q,217Q,217Q,218Q,218Q,218Q,219Q,220Q,221Q,221Q,222Q,223Q,224Q,225Q,227Q,228Q,229Q
