STNID,MONTH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
USC00190120,1,99S,100S,100S,101S,102S,103S,103S,104S,105S,105S,106S,106S,107S,107S,107S,107S,107S,107S,107S,107S,107S,107S,106S,106S,106S,105S,104S,103S,103S,102S,101S
USC00190120,2,100S,99S,99S,98S,97S,96S,96S,95S,94S,94S,93S,93S,93S,92S,92S,92S,91S,91S,91S,91S,91S,90S,90S,90S,90S,90S,90S,89S,89S,-8888,-8888
USC00190120,3,89S,89S,89S,89S,88S,88S,87S,87S,87S,87S,86S,86S,86S,85S,85S,85S,84S,84S,84S,84S,83S,83S,83S,82S,82S,81S,81S,80S,80S,80S,79S
USC00190120,4,79S,79S,79S,78S,78S,78S,77S,77S,77S,77S,77S,77S,77S,76S,76S,76S,75S,75S,75S,74S,74S,74S,74S,74S,73S,73S,73S,73S,73S,73S,-8888
USC00190120,5,72S,72S,72S,72S,72S,72S,72S,72S,72S,72S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,70S,70S,70S,70S,70S
USC00190120,6,69S,69S,69S,68S,68S,67S,67S,66S,66S,65S,65S,64S,64S,63S,63S,62S,62S,62S,61S,61S,61S,60S,60S,60S,59S,59S,59S,58S,58S,58S,-8888
USC00190120,7,58C,57C,57C,57C,56C,56C,56C,56C,55C,55C,55C,55C,55C,55C,54C,54C,54C,54C,53C,53C,53C,53C,53C,52C,52C,52C,52C,52C,53C,53C,53C
USC00190120,8,53C,53C,53C,54C,54C,54C,54C,54C,55C,55C,55C,55C,55C,55C,56C,56C,56C,56C,57C,57C,57C,58C,58C,58C,59C,59C,59C,60C,60C,61C,61C
USC00190120,9,61C,62C,62C,63C,63C,64C,64C,65C,65C,66C,66C,67C,67C,67C,68C,68C,69C,69C,70C,70C,70C,71C,71C,72C,72C,72C,72C,72C,73C,73C,-8888
USC00190120,10,73S,73S,73S,73S,73S,73S,73S,73S,72S,72S,72S,72S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,73S,74S,74S,74S
USC00190120,11,74C,75C,75C,75C,76C,76C,76C,77C,77C,77C,77C,77C,78C,78C,78C,78C,79C,79C,79C,79C,80C,80C,80C,80C,81C,81C,81C,82C,82C,82C,-8888
USC00190120,12,82C,83C,83C,83C,84C,84C,85C,85C,86C,86C,86C,87C,87C,88C,88C,88C,89C,89C,90C,90C,91C,91C,92C,92C,93C,93C,94C,95C,96C,97C,98C
USC00274399,1,103S,104S,105S,105S,106S,107S,108S,109S,109S,110S,111S,111S,112S,112S,112S,113S,113S,113S,113S,113S,113S,113S,112S,112S,111S,111S,110S,110S,109S,108S,108S
USC00274399,2,107C,106C,106C,105C,104C,103C,103C,102C,102C,101C,101C,101C,100C,100C,99C,99C,99C,99C,98C,98C,98C,98C,97C,97C,97C,96C,96C,96C,96S,-8888,-8888
USC00274399,3,96S,95S,95S,94S,94S,93S,92S,92S,91S,91S,90S,89S,89S,88S,87S,87S,86S,86S,85S,85S,85S,84S,84S,83S,83S,82S,82S,81S,81S,80S,80S
USC00274399,4,80S,79S,79S,79S,78S,78S,78S,78S,78S,78S,78S,78S,78S,77S,77S,77S,77S,76S,76S,76S,75S,75S,75S,74S,74S,74S,73S,73S,73S,73S,-8888
USC00274399,5,73S,72S,72S,72S,72S,72S,72S,72S,72S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,71S,70S
USC00274399,6,70S,70S,69S,69S,68S,68S,67S,67S,66S,66S,65S,64S,64S,63S,63S,63S,62S,62S,61S,61S,61S,60S,60S,60S,60S,59S,59S,59S,58S,58S,-8888
USC00274399,7,58S,58S,57S,57S,57S,57S,56S,56S,56S,56S,56S,56S,55S,55S,55S,55S,54S,54S,54S,54S,54S,54S,53S,53S,53S,53S,53S,54S,54S,54S,54S
USC00274399,8,54S,54S,55S,55S,55S,55S,55S,56S,56S,56S,56S,57S,57S,57S,57S,58S,58S,58S,58S,58S,59S,59S,59S,59S,60S,60S,60S,60S,61S,61S,61S
USC00274399,9,62S,62S,62S,63S,63S,64S,64S,64S,65S,65S,66S,66S,67S,67S,68S,68S,69S,69S,70S,70S,70S,71S,71S,72S,72S,73S,73S,73S,73S,73S,-8888
USC00274399,10,74S,74S,74S,74S,74S,74S,74S,74S,73S,73S,73S,73S,73S,73S,73S,73S,73S,72S,72S,72S,72S,72S,72S,72S,72S,72S,72S,73S,73S,73S,73S
USC00274399,11,74S,74S,74S,75S,75S,75S,76S,76S,77S,77S,78S,78S,78S,79S,79S,80S,80S,81S,81S,82S,82S,83S,83S,84S,85S,85S,86S,86S,87S,87S,-8888
USC00274399,12,87S,88S,88S,89S,90S,90S,91S,91S,92S,92S,93S,93S,93S,94S,94S,94S,95S,95S,95S,96S,96S,97S,97S,97S,98S,98S,99S,100S,101S,101S,102S
