STNID,MONTH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
USC00190120,1,337C,335C,334C,332C,331C,330C,329C,328C,328C,327C,327C,326C,326C,326C,326C,326C,327C,327C,328C,328C,329C,330C,331C,332C,333C,334C,336C,337C,338C,340C,342C
USC00190120,2,343C,345C,347C,349C,350C,352C,354C,356C,358C,361C,363C,365C,367C,369C,371C,374C,376C,378C,380C,383C,385C,387C,390C,392C,395C,397C,400C,402C,403C,-8888,-8888
USC00190120,3,405C,407C,410C,413C,415C,418C,421C,424C,427C,430C,433C,436C,440C,443C,447C,450C,454C,457C,461C,465C,469C,473C,477C,481C,485C,489C,494C,498C,503C,507C,512C
USC00190120,4,516C,521C,526C,530C,535C,540C,545C,549C,554C,559C,564C,568C,573C,578C,582C,587C,591C,596C,600C,605C,609C,613C,617C,621C,625C,629C,633C,637C,640C,644C,-8888
USC00190120,5,647C,651C,654C,657C,661C,664C,667C,670C,673C,676C,679C,682C,684C,687C,690C,693C,695C,698C,701C,704C,706C,709C,712C,714C,717C,720C,723C,725C,728C,731C,734C
USC00190120,6,737C,739C,742C,745C,748C,751C,754C,757C,759C,762C,765C,768C,771C,773C,776C,779C,782C,784C,787C,789C,792C,794C,796C,798C,800C,803C,804C,806C,808C,810C,-8888
USC00190120,7,811C,813C,814C,816C,817C,818C,819C,820C,821C,822C,822C,823C,824C,824C,824C,825C,825C,825C,825C,825C,825C,825C,825C,825C,825C,825C,824C,824C,824C,823C,823C
USC00190120,8,822C,822C,821C,820C,820C,819C,818C,818C,817C,816C,815C,814C,813C,812C,811C,810C,808C,807C,806C,804C,803C,801C,799C,797C,796C,794C,792C,790C,787C,785C,783C
USC00190120,9,780C,778C,775C,772C,769C,767C,764C,760C,757C,754C,751C,747C,744C,740C,737C,733C,730C,726C,722C,718C,714C,710C,707C,703C,699C,695C,691C,687C,683C,679C,-8888
USC00190120,10,674S,670S,666S,662S,658S,654S,650S,646S,642S,638S,634S,630S,626S,623S,619S,615S,611S,607S,603S,599S,595S,591S,587S,584S,580S,576S,572S,568S,564S,560S,556S
USC00190120,11,552C,549C,545C,541C,537C,533C,529C,525C,521C,517C,513C,509C,504C,500C,496C,492C,488C,484C,480C,476C,472C,467C,463C,459C,455C,451C,447C,443C,439C,435C,-8888
USC00190120,12,431C,427C,423C,419C,415C,411C,408C,404C,400C,396C,393C,389C,386C,383C,379C,376C,373C,370C,367C,364C,361C,358C,356C,353C,351C,348C,346C,344C,342C,340C,338C
USC00193229,1,327Q,326Q,325Q,324Q,323Q,322Q,322Q,321Q,321Q,321Q,321Q,321Q,321Q,321Q,322Q,322Q,323Q,323Q,324Q,325Q,326Q,327Q,328Q,329Q,331Q,332Q,333Q,335Q,336Q,337Q,339Q
USC00193229,2,340Q,342Q,344Q,345Q,347Q,348Q,350Q,352Q,353Q,355Q,357Q,359Q,361Q,363Q,365Q,367Q,369Q,371Q,373Q,375Q,377Q,380Q,382Q,384Q,387Q,389Q,392Q,395Q,396Q,-8888,-8888
USC00193229,3,398Q,401Q,404Q,407Q,410Q,413Q,417Q,420Q,424Q,427Q,431Q,435Q,438Q,442Q,446Q,451Q,455Q,459Q,463Q,467Q,472Q,476Q,481Q,485Q,490Q,494Q,499Q,503Q,508Q,512Q,517Q
USC00193229,4,521Q,526Q,530Q,535Q,539Q,543Q,548Q,552Q,556Q,560Q,564Q,568Q,572Q,576Q,580Q,584Q,588Q,591Q,595Q,599Q,602Q,606Q,609Q,612Q,616Q,619Q,622Q,625Q,628Q,631Q,-8888
USC00193229,5,634Q,637Q,640Q,643Q,646Q,649Q,652Q,655Q,658Q,661Q,664Q,667Q,670Q,673Q,676Q,679Q,682Q,686Q,689Q,692Q,695Q,698Q,701Q,705Q,708Q,711Q,714Q,718Q,721Q,724Q,727Q
USC00193229,6,731Q,734Q,737Q,740Q,744Q,747Q,750Q,753Q,756Q,759Q,762Q,765Q,768Q,771Q,773Q,776Q,778Q,781Q,783Q,786Q,788Q,790Q,792Q,794Q,796Q,798Q,800Q,801Q,803Q,804Q,-8888
USC00193229,7,806Q,807Q,808Q,809Q,810Q,811Q,812Q,813Q,813Q,814Q,814Q,815Q,815Q,816Q,816Q,816Q,816Q,816Q,817Q,817Q,817Q,817Q,816Q,816Q,816Q,816Q,816Q,815Q,815Q,815Q,814Q
USC00193229,8,814Q,814Q,813Q,813Q,812Q,811Q,811Q,810Q,809Q,809Q,808Q,807Q,806Q,805Q,804Q,803Q,802Q,800Q,799Q,798Q,796Q,794Q,793Q,791Q,789Q,787Q,785Q,783Q,781Q,778Q,776Q
USC00193229,9,773Q,771Q,768Q,765Q,762Q,759Q,756Q,753Q,750Q,746Q,743Q,739Q,736Q,732Q,728Q,724Q,720Q,716Q,712Q,708Q,704Q,700Q,696Q,692Q,688Q,684Q,679Q,675Q,671Q,667Q,-8888
USC00193229,10,663Q,659Q,655Q,650Q,646Q,642Q,638Q,634Q,631Q,627Q,623Q,619Q,615Q,612Q,608Q,604Q,601Q,597Q,594Q,590Q,587Q,584Q,580Q,577Q,574Q,571Q,567Q,564Q,561Q,558Q,554Q
USC00193229,11,551Q,548Q,544Q,541Q,538Q,534Q,531Q,528Q,524Q,520Q,517Q,513Q,510Q,506Q,502Q,498Q,494Q,490Q,486Q,482Q,478Q,474Q,469Q,465Q,461Q,456Q,452Q,447Q,443Q,438Q,-8888
USC00193229,12,434Q,429Q,425Q,420Q,416Q,411Q,407Q,403Q,398Q,394Q,390Q,386Q,381Q,377Q,374Q,370Q,366Q,363Q,359Q,356Q,353Q,350Q,347Q,344Q,341Q,339Q,336Q,334Q,332Q,331Q,329Q
USC00274399,1,313S,311S,310S,308S,307S,306S,305S,304S,304S,303S,303S,303S,303S,303S,303S,303S,303S,304S,305S,305S,306S,307S,309S,310S,311S,313S,314S,316S,317S,319S,321S
USC00274399,2,323S,325S,327S,329S,331S,333S,335S,337S,339S,342S,344S,346S,349S,351S,353S,356S,358S,361S,363S,366S,368S,371S,373S,376S,378S,381S,384S,386S,388S,-8888,-8888
USC00274399,3,389S,392S,395S,398S,400S,403S,407S,410S,413S,416S,419S,423S,426S,430S,433S,437S,441S,445S,448S,452S,457S,461S,465S,469S,474S,478S,483S,487S,492S,497S,502S
USC00274399,4,507S,511S,516S,521S,526S,531S,537S,542S,547S,552S,557S,562S,567S,572S,577S,582S,587S,592S,596S,601S,606S,610S,615S,619S,624S,628S,632S,637S,641S,645S,-8888
USC00274399,5,649S,652S,656S,660S,663S,667S,670S,674S,677S,680S,683S,687S,690S,693S,696S,699S,701S,704S,707S,710S,713S,715S,718S,721S,724S,726S,729S,732S,734S,737S,740S
USC00274399,6,742S,745S,748S,750S,753S,756S,758S,761S,764S,766S,769S,771S,774S,776S,779S,781S,784S,786S,789S,791S,793S,796S,798S,800S,802S,804S,806S,808S,809S,811S,-8888
USC00274399,7,813S,814S,816S,817S,819S,820S,821S,822S,823S,824S,825S,826S,826S,827S,827S,828S,828S,829S,829S,829S,829S,829S,829S,829S,829S,829S,828S,828S,828S,827S,827S
