STNID,MONTH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
USC00190120,1,96C,96C,97C,98C,98C,99C,99C,100C,100C,100C,101C,101C,101C,101C,101C,101C,102C,102C,102C,102C,102C,102C,102C,101C,101C,101C,100C,100C,99C,99C,98C
USC00190120,2,97C,97C,96C,96C,95C,95C,94C,94C,94C,94C,94C,94C,93C,93C,93C,93C,93C,93C,93C,93C,93C,94C,94C,94C,94C,95C,95C,95C,96C,-8888,-8888
USC00190120,3,96C,96C,96C,96C,97C,97C,97C,97C,98C,98C,98C,98C,99C,99C,99C,100C,100C,100C,101C,101C,102C,102C,102C,102C,102C,102C,102C,102C,102C,102C,102C
USC00190120,4,102C,102C,102C,102C,102C,102C,102C,102C,102C,102C,102C,102C,102C,101C,101C,101C,100C,100C,99C,99C,98C,98C,98C,98C,98C,97C,97C,97C,96C,96C,-8888
USC00190120,5,96C,96C,96C,96C,96C,96C,95C,95C,95C,94C,94C,94C,94C,94C,93C,93C,93C,93C,92C,92C,92C,91C,91C,91C,90C,90C,90C,90C,89C,89C,88C
USC00190120,6,88C,87C,86C,86C,85C,84C,83C,82C,81C,80C,79C,79C,78C,77C,76C,75C,74C,74C,73C,72C,72C,71C,70C,70C,69C,68C,68C,67C,66C,66C,-8888
USC00190120,7,65C,65C,64C,64C,63C,63C,63C,62C,62C,62C,62C,62C,62C,62C,62C,61C,61C,61C,61C,60C,60C,60C,60C,60C,60C,60C,60C,60C,60C,60C,60C
USC00190120,8,60C,60C,60C,60C,60C,60C,60C,61C,61C,61C,61C,61C,61C,61C,61C,61C,62C,62C,62C,62C,63C,63C,63C,63C,64C,64C,64C,65C,65C,65C,65C
USC00190120,9,66C,66C,66C,67C,67C,68C,68C,68C,69C,69C,70C,70C,70C,71C,71C,72C,72C,73C,73C,73C,74C,74C,74C,75C,75C,76C,76C,76C,76C,76C,-8888
USC00190120,10,77S,77S,77S,77S,77S,78S,78S,78S,78S,79S,79S,79S,80S,80S,81S,81S,81S,82S,82S,82S,82S,83S,83S,83S,83S,84S,84S,84S,85S,85S,85S
USC00190120,11,86C,86C,86C,87C,87C,87C,88C,88C,88C,88C,88C,88C,88C,88C,89C,89C,89C,89C,90C,90C,90C,90C,90C,91C,91C,91C,91C,91C,91C,91C,-8888
USC00190120,12,91C,91C,92C,92C,92C,92C,92C,92C,92C,92C,93C,93C,93C,93C,93C,93C,93C,93C,92C,92C,92C,92C,92C,92C,92C,93C,93C,93C,94C,95C,95C
USC00274399,1,95S,95S,96S,97S,97S,98S,98S,99S,99S,100S,100S,101S,101S,101S,102S,102S,102S,102S,103S,103S,103S,103S,103S,103S,103S,102S,102S,102S,101S,101S,100S
USC00274399,2,100S,100S,99S,99S,98S,98S,97S,97S,97S,97S,97S,96S,96S,96S,96S,96S,96S,96S,96S,96S,96S,96S,96S,96S,96S,96S,97S,97S,97S,-8888,-8888
USC00274399,3,97S,97S,97S,97S,97S,97S,97S,98S,98S,98S,98S,99S,99S,99S,100S,100S,100S,101S,101S,102S,102S,103S,103S,103S,104S,104S,104S,104S,104S,104S,105S
USC00274399,4,105S,105S,106S,106S,106S,106S,106S,107S,107S,107S,108S,108S,108S,108S,108S,107S,107S,106S,106S,106S,105S,105S,105S,104S,104S,104S,103S,103S,102S,102S,-8888
USC00274399,5,102S,102S,101S,101S,101S,101S,100S,100S,99S,99S,99S,98S,98S,98S,97S,97S,97S,96S,96S,96S,95S,95S,95S,94S,94S,94S,94S,93S,93S,92S,92S
USC00274399,6,91S,90S,89S,89S,88S,87S,86S,85S,84S,83S,82S,81S,80S,80S,79S,78S,77S,77S,76S,76S,75S,74S,74S,73S,72S,72S,71S,70S,70S,69S,-8888
USC00274399,7,69S,68S,67S,67S,66S,66S,66S,65S,65S,64S,64S,64S,64S,63S,63S,63S,62S,62S,62S,61S,61S,61S,61S,60S,60S,60S,60S,60S,59S,59S,60S
USC00274399,8,60S,60S,60S,60S,60S,60S,60S,61S,61S,61S,61S,62S,62S,62S,63S,63S,63S,64S,64S,64S,65S,66S,66S,66S,67S,67S,67S,68S,68S,68S,69S
USC00274399,9,69S,70S,70S,71S,71S,71S,72S,72S,72S,73S,73S,73S,74S,74S,75S,75S,75S,76S,76S,76S,77S,77S,78S,78S,78S,79S,79S,79S,80S,80S,-8888
USC00274399,10,80S,80S,80S,80S,80S,81S,81S,81S,81S,81S,82S,82S,82S,82S,83S,83S,83S,83S,83S,83S,84S,84S,84S,84S,84S,84S,84S,85S,85S,85S,86S
USC00274399,11,86S,86S,87S,87S,87S,87S,88S,88S,88S,88S,88S,88S,89S,89S,89S,89S,90S,90S,90S,90S,91S,91S,91S,91S,92S,92S,92S,92S,92S,92S,-8888
USC00274399,12,92S,92S,92S,92S,92S,92S,92S,93S,93S,93S,93S,93S,93S,93S,92S,92S,92S,92S,92S,92S,92S,92S,92S,91S,91S,92S,92S,92S,93S,94S,94S
