STNID,MONTH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
USC00190120,1,148S,146S,143S,141S,140S,138S,136S,135S,133S,132S,131S,130S,129S,128S,128S,127S,127S,127S,127S,126S,127S,127S,127S,128S,128S,129S,129S,130S,131S,132S,133S
USC00190120,2,134S,135S,137S,138S,140S,141S,143S,144S,146S,148S,150S,152S,154S,156S,158S,160S,163S,165S,167S,170S,172S,175S,177S,180S,183S,185S,188S,191S,193S,-8888,-8888
USC00190120,3,194S,197S,200S,203S,206S,209S,212S,216S,219S,222S,226S,229S,232S,236S,239S,242S,246S,249S,253S,256S,260S,263S,267S,270S,274S,277S,280S,284S,287S,291S,294S
USC00190120,4,298S,301S,304S,308S,311S,314S,318S,321S,324S,327S,331S,334S,337S,340S,344S,347S,350S,353S,356S,360S,363S,366S,369S,372S,376S,379S,382S,385S,388S,392S,-8888
USC00190120,5,395S,398S,402S,405S,408S,412S,415S,419S,422S,425S,429S,432S,436S,439S,443S,447S,450S,454S,457S,461S,465S,468S,472S,475S,479S,483S,486S,490S,493S,497S,500S
USC00190120,6,504S,507S,510S,514S,517S,520S,524S,527S,530S,533S,536S,539S,542S,544S,547S,550S,552S,555S,557S,560S,562S,564S,566S,569S,571S,572S,574S,576S,578S,579S,-8888
USC00190120,7,581C,582C,584C,585C,586C,587C,588C,589C,590C,591C,592C,592C,593C,594C,594C,595C,595C,595C,595C,596C,596C,596C,596C,596C,596C,596C,595C,595C,595C,594C,594C
USC00190120,8,594C,593C,592C,592C,591C,590C,589C,589C,588C,587C,586C,584C,583C,582C,580C,579C,578C,576C,574C,573C,571C,569C,567C,565C,562C,560C,558C,555C,553C,550C,547C
USC00190120,9,545C,542C,539C,536C,532C,529C,526C,522C,519C,515C,511C,508C,504C,500C,496C,492C,488C,484C,480C,475C,471C,467C,463C,458C,454C,450C,445C,441C,437C,433C,-8888
USC00190120,10,428S,424S,420S,416S,412S,408S,404S,400S,396S,393S,389S,385S,382S,379S,375S,372S,369S,366S,363S,360S,357S,354S,351S,349S,346S,344S,341S,339S,337S,334S,332S
USC00190120,11,330C,328C,325C,323C,321C,319C,317C,315C,313C,310C,308C,306C,304C,301C,299C,297C,294C,292C,289C,286C,284C,281C,278C,275C,272C,269C,266C,263C,259C,256C,-8888
USC00190120,12,253C,249C,246C,242C,238C,235C,231C,227C,224C,220C,216C,212C,209C,205C,201C,198C,194C,190C,187C,183C,180C,177C,173C,170C,167C,164C,161C,158C,155C,153C,150C
USC00193229,1,132Q,130Q,128Q,126Q,124Q,122Q,120Q,119Q,117Q,116Q,115Q,114Q,113Q,113Q,112Q,112Q,112Q,112Q,112Q,112Q,112Q,112Q,113Q,113Q,114Q,115Q,115Q,116Q,117Q,118Q,119Q
USC00193229,2,121Q,122Q,123Q,124Q,126Q,127Q,129Q,130Q,132Q,133Q,135Q,136Q,138Q,140Q,141Q,143Q,145Q,147Q,149Q,151Q,153Q,155Q,157Q,159Q,162Q,164Q,166Q,169Q,170Q,-8888,-8888
USC00193229,3,172Q,174Q,177Q,180Q,183Q,186Q,189Q,192Q,195Q,199Q,202Q,205Q,209Q,213Q,217Q,220Q,224Q,228Q,232Q,236Q,241Q,245Q,249Q,253Q,258Q,262Q,266Q,271Q,275Q,279Q,284Q
USC00193229,4,288Q,292Q,296Q,301Q,305Q,309Q,313Q,317Q,321Q,325Q,329Q,333Q,337Q,341Q,344Q,348Q,351Q,355Q,358Q,362Q,365Q,368Q,372Q,375Q,378Q,381Q,384Q,387Q,390Q,393Q,-8888
USC00193229,5,396Q,399Q,402Q,405Q,408Q,411Q,415Q,418Q,421Q,424Q,427Q,430Q,433Q,437Q,440Q,443Q,446Q,450Q,453Q,456Q,460Q,463Q,467Q,470Q,474Q,477Q,481Q,484Q,487Q,491Q,494Q
USC00193229,6,498Q,501Q,504Q,507Q,511Q,514Q,517Q,520Q,523Q,525Q,528Q,531Q,533Q,536Q,538Q,541Q,543Q,545Q,547Q,549Q,551Q,552Q,554Q,555Q,557Q,558Q,559Q,561Q,562Q,563Q,-8888
USC00193229,7,564Q,565Q,565Q,566Q,567Q,568Q,568Q,569Q,569Q,570Q,570Q,571Q,571Q,571Q,572Q,572Q,572Q,573Q,573Q,573Q,573Q,573Q,574Q,574Q,574Q,574Q,574Q,574Q,574Q,574Q,574Q
USC00193229,8,574Q,574Q,574Q,574Q,573Q,573Q,573Q,572Q,571Q,571Q,570Q,569Q,568Q,567Q,566Q,565Q,564Q,562Q,561Q,559Q,557Q,555Q,554Q,551Q,549Q,547Q,545Q,542Q,539Q,537Q,534Q
USC00193229,9,531Q,528Q,525Q,522Q,518Q,515Q,512Q,508Q,505Q,501Q,497Q,493Q,490Q,486Q,482Q,478Q,474Q,470Q,466Q,462Q,458Q,454Q,450Q,446Q,443Q,439Q,435Q,431Q,427Q,423Q,-8888
USC00193229,10,419Q,416Q,412Q,408Q,405Q,401Q,397Q,394Q,391Q,387Q,384Q,381Q,377Q,374Q,371Q,368Q,365Q,362Q,359Q,356Q,353Q,351Q,348Q,345Q,343Q,340Q,338Q,335Q,333Q,330Q,328Q
USC00193229,11,325Q,323Q,320Q,318Q,316Q,313Q,311Q,308Q,306Q,304Q,301Q,299Q,296Q,293Q,291Q,288Q,286Q,283Q,280Q,277Q,274Q,271Q,268Q,265Q,262Q,259Q,256Q,252Q,249Q,245Q,-8888
USC00193229,12,242Q,238Q,235Q,231Q,227Q,223Q,220Q,216Q,212Q,208Q,204Q,200Q,196Q,192Q,189Q,185Q,181Q,177Q,173Q,170Q,166Q,163Q,159Q,156Q,152Q,149Q,146Q,143Q,140Q,137Q,135Q
USC00274399,1,111S,108S,106S,103S,101S,99S,98S,96S,94S,93S,92S,91S,90S,89S,88S,88S,88S,87S,87S,87S,87S,87S,88S,88S,89S,89S,90S,91S,91S,92S,93S
USC00274399,2,94C,96C,97C,98C,99C,101C,102C,104C,105C,107C,109C,110C,112C,114C,116C,118C,120C,122C,124C,127C,129C,131C,134C,136C,139C,141C,144C,147C,148C,-8888,-8888
USC00274399,3,150S,153S,156S,159S,162S,165S,168S,172S,175S,178S,182S,186S,189S,193S,197S,200S,204S,208S,212S,216S,220S,224S,228S,232S,236S,240S,244S,248S,252S,256S,260S
USC00274399,4,264S,268S,272S,276S,280S,283S,287S,291S,295S,298S,302S,306S,309S,313S,316S,320S,323S,327S,330S,334S,337S,340S,343S,347S,350S,353S,356S,360S,363S,366S,-8888
USC00274399,5,369S,372S,376S,379S,382S,385S,388S,392S,395S,398S,402S,405S,408S,412S,415S,418S,422S,425S,429S,432S,436S,439S,443S,446S,450S,453S,457S,460S,464S,467S,471S
USC00274399,6,474S,478S,481S,485S,488S,491S,495S,498S,501S,504S,507S,510S,513S,516S,519S,522S,525S,527S,530S,532S,535S,537S,539S,541S,544S,546S,547S,549S,551S,553S,-8888
USC00274399,7,554S,556S,557S,558S,560S,561S,562S,563S,564S,565S,566S,566S,567S,568S,568S,568S,569S,569S,569S,570S,570S,570S,570S,570S,570S,570S,570S,570S,569S,569S,569S
USC00274399,8,568S,568S,567S,567S,566S,566S,565S,564S,563S,562S,562S,561S,560S,558S,557S,556S,555S,553S,552S,550S,549S,547S,545S,543S,541S,539S,537S,534S,532S,530S,527S
USC00274399,9,524S,522S,519S,516S,513S,509S,506S,503S,499S,496S,492S,488S,484S,480S,476S,472S,468S,464S,460S,456S,451S,447S,442S,438S,434S,429S,425S,420S,416S,411S,-8888
USC00274399,10,407S,402S,398S,394S,390S,385S,381S,377S,373S,369S,365S,362S,358S,354S,351S,347S,344S,341S,338S,335S,332S,329S,326S,324S,321S,319S,316S,314S,312S,309S,307S
USC00274399,11,305S,303S,301S,299S,297S,295S,293S,291S,289S,287S,284S,282S,280S,278S,275S,273S,271S,268S,266S,263S,260S,257S,254S,251S,248S,245S,242S,238S,235S,231S,-8888
USC00274399,12,228S,224S,220S,216S,212S,208S,204S,200S,196S,192S,188S,183S,179S,175S,171S,167S,163S,159S,154S,151S,147S,143S,139S,136S,132S,129S,125S,122S,119S,116S,113S
USC00278539,1,89Q,87Q,85Q,83Q,82Q,80Q,79Q,79Q,78Q,77Q,77Q,77Q,77Q,77Q,78Q,78Q,78Q,79Q,80Q,80Q,81Q,82Q,83Q,84Q,85Q,86Q,86Q,87Q,88Q,89Q,90Q
USC00278539,2,91Q,92Q,93Q,93Q,94Q,95Q,96Q,97Q,98Q,99Q,100Q,101Q,102Q,103Q,104Q,105Q,107Q,108Q,110Q,112Q,113Q,115Q,117Q,120Q,122Q,125Q,127Q,130Q,132Q,-8888,-8888
