,STNID,ZIP,POSTOFFICE
0,RQC00666270,00674,Manati
1,RQC00666361,00662,Isabela
2,RQC00666390,00687,Morovis
3,RQC00666514,00783,Corozal
4,RQC00666805,00718,Naguabo
5,RQC00666900,00723,Patillas
6,RQC00666983,00624,Penuelas
7,RQC00666992,00718,Naguabo
8,RQC00667292,00795,Juana
9,RQC00667295,00716,Ponce
10,RQC00668126,00677,Rincon
11,RQC00668144,00718,Naguabo
12,RQC00668306,00925,San
13,RQC00668814,00979,Carolina
14,RQC00668815,00754,San
15,RQC00668881,00685,San
16,RQC00668940,00757,Santa
17,RQC00669421,00646,Dorado
18,RQC00669432,00720,Orocovis
19,RQC00669521,00976,Trujillo
20,RQC00669608,00641,Utuado
21,RQC00669774,00766,Villalba
22,RQC00669860,00698,Yauco
23,RQW00011603,00603,Aguadilla
24,RQW00011630,00735,Ceiba
25,RQW00011641,00979,Carolina
26,USC00010008,36310,Abbeville
27,USC00010063,35540,Addison
28,USC00010140,36720,Alberta
29,USC00010160,35010,Alexander
30,USC00010178,35442,Aliceville
31,USC00010184,35447,Carrollton
32,USC00010252,36420,Andalusia
33,USC00010260,35652,Rogersville
34,USC00010369,36251,Ashland
35,USC00010390,35611,Athens
36,USC00010402,36502,Atmore
37,USC00010425,36830,Auburn
38,USC00010430,36832,Auburn
39,USC00010440,36003,Autaugaville
40,USC00010505,35475,Northport
41,USC00010583,36507,Bay
42,USC00010655,35756,Madison
43,USC00010748,35542,Bankston
44,USC00010764,35023,Bessemer
45,USC00010957,35957,Boaz
46,USC00011080,36426,Brewton
47,USC00011084,36426,Brewton
48,USC00011099,35740,Bridgeport
49,USC00011178,36010,Brundidge
50,USC00011288,35040,Calera
51,USC00011301,36726,Camden
52,USC00011324,36850,Camp
53,USC00011377,35587,Townley
54,USC00011490,35960,Centre
55,USC00011566,36518,Chatom
56,USC00011620,35044,Childersburg
57,USC00011690,36444,Franklin
58,USC00011694,35045,Clanton
59,USC00011725,36016,Clayton
60,USC00011803,36509,Bayou
61,USC00011810,36524,Coffeeville
62,USC00012096,35055,Cullman
63,USC00012172,36528,Dauphin
64,USC00012209,35601,Decatur
65,USC00012245,35470,Livingston
66,USC00012377,36301,Dothan
67,USC00012577,36323,Elba
68,USC00012675,36330,Enterprise
69,USC00012730,36027,Eufaula
70,USC00012758,36401,Evergreen
71,USC00012813,36532,Fairhope
72,USC00012840,35622,Falkville
73,USC00012883,35555,Fayette
74,USC00013043,35967,Fort
75,USC00013105,36445,Frisco
76,USC00013154,35901,Gadsden
77,USC00013160,35460,Epes
78,USC00013251,36340,Geneva
79,USC00013271,36033,Georgiana
80,USC00013430,35130,Quinton
81,USC00013511,36744,Greensboro
82,USC00013519,36037,Greenville
83,USC00013573,35976,Guntersville
84,USC00013575,35976,Guntersville
85,USC00013620,35565,Haleyville
86,USC00013645,35570,Hamilton
87,USC00013655,35077,Hanceville
88,USC00013761,36345,Headland
89,USC00013775,36264,Heflin
90,USC00013781,35007,Alabaster
91,USC00013816,36041,Highland
92,USC00013930,35404,Tuscaloosa
93,USC00014080,36860,Hurtsboro
94,USC00014193,36545,Jackson
95,USC00014209,36265,Jacksonville
96,USC00014226,35503,Jasper
97,USC00014274,36752,Lowndesboro
98,USC00014306,36092,Wetumpka
99,USC00014431,36453,Kinston
100,USC00014502,36862,Lafayette
101,USC00014603,35046,Clanton
102,USC00014619,35094,Leeds
103,USC00014798,35470,Livingston
104,USC00014866,35014,Alpine
105,USC00015112,36756,Marion
106,USC00015116,36759,Marion
107,USC00015121,36759,Marion
108,USC00015140,36078,Tallassee
109,USC00015397,36053,Midway
110,USC00015420,36728,Catherine
111,USC00015439,36075,Shorter
112,USC00015465,35136,Rockford
113,USC00015537,35115,Montevallo
114,USC00015553,36116,Montgomery
115,USC00015635,35650,Moulton
116,USC00015658,35474,Moundville
117,USC00015752,35661,Muscle
118,USC00016000,35124,Pelham
119,USC00016121,35121,Oneonta
120,USC00016129,36801,Opelika
121,USC00016196,35760,New
122,USC00016246,35126,Pinson
123,USC00016334,36916,Pennington
124,USC00016436,36768,Pine
125,USC00016478,35215,Birmingham
126,USC00016847,35481,Reform
127,USC00016988,36567,Robertsdale
128,USC00017020,35136,Rockford
129,USC00017025,36274,Roanoke
130,USC00017131,35653,Russellville
131,USC00017157,35055,Cullman
132,USC00017207,35962,Crossville
133,USC00017304,35768,Scottsboro
134,USC00017326,36875,Seale
135,USC00017366,36701,Selma
136,USC00017947,35586,Sulligent
137,USC00017999,35150,Sylacauga
138,USC00018024,35160,Talladega
139,USC00018038,36093,Wetumpka
140,USC00018178,36784,Thomasville
141,USC00018209,35045,Clanton
142,USC00018323,36081,Troy
143,USC00018380,35401,Tuscaloosa
144,USC00018385,35476,Northport
145,USC00018438,36089,Union
146,USC00018469,35984,Mentone
147,USC00018517,35592,Vernon
148,USC00018605,36276,Wadley
149,USC00018608,36276,Wadley
150,USC00018648,35952,Altoona
151,USC00018653,35010,Alexander
152,USC00018673,35462,Eutaw
153,USC00018755,35903,Gadsden
154,USC00018809,35184,West
155,USC00018812,35057,Cullman
156,USC00018859,36092,Wetumpka
157,USC00018867,36451,Grove
158,USC00018998,35594,Winfield
159,USC00020060,85390,Wickenburg
160,USC00020080,85321,Ajo
161,USC00020100,85348,Salome
162,USC00020159,85920,Alpine
163,USC00020170,85533,Clifton
164,USC00020174,85533,Clifton
165,USC00020287,85735,Tucson
166,USC00020288,85118,Gold
167,USC00020380,85601,Arivaca
168,USC00020404,85123,Arizona
169,USC00020498,85132,Florence
170,USC00020586,86321,Bagdad
171,USC00020632,85262,Scottsdale
172,USC00020670,86335,Rimrock
173,USC00020672,86432,Littlefield
174,USC00020678,86001,Flagstaff
175,USC00020683,85630,Saint
176,USC00020750,86054,Shonto
177,USC00020775,85603,Bisbee
178,USC00020808,85550,San
179,USC00020871,86024,Happy
180,USC00020949,85344,Parker
181,USC00020958,85632,San
182,USC00021001,86022,Fredonia
183,USC00021026,85326,Buckeye
184,USC00021050,86429,Bullhead
185,USC00021169,86045,Tuba
186,USC00021231,85637,Sonoita
187,USC00021248,86503,Chinle
188,USC00021282,85266,Scottsdale
189,USC00021306,85122,Casa
190,USC00021314,85128,Coolidge
191,USC00021330,85602,Benson
192,USC00021353,85332,Congress
193,USC00021357,85619,Mount
194,USC00021514,85142,Queen
195,USC00021574,86336,Sedona
196,USC00021614,86333,Mayer
197,USC00021654,86323,Chino
198,USC00021664,85643,Willcox
199,USC00021849,85533,Clifton
200,USC00021920,84737,Hurricane
201,USC00022109,86333,Mayer
202,USC00022140,85615,Hereford
203,USC00022329,86343,Crown
204,USC00022434,85347,Roll
205,USC00022527,86411,Hackberry
206,USC00022659,85607,Douglas
207,USC00022754,85534,Duncan
208,USC00022782,85207,Mesa
209,USC00022790,85328,Cibola
210,USC00022807,85131,Eloy
211,USC00023009,86001,Flagstaff
212,USC00023027,85132,Florence
213,USC00023110,85643,Willcox
214,USC00023150,85543,Pima
215,USC00023160,86001,Flagstaff
216,USC00023190,85264,Fort
217,USC00023250,86021,Colorado
218,USC00023303,86505,Ganado
219,USC00023393,85337,Gila
220,USC00023448,85541,Payson
221,USC00023505,85501,Globe
222,USC00023596,86023,Grand
223,USC00023668,85614,Green
224,USC00023683,85925,Eagar
225,USC00023828,86024,Happy
226,USC00023961,85928,Heber
227,USC00024053,86332,Kirkland
228,USC00024089,86025,Holbrook
229,USC00024182,00199,Tonto
230,USC00024391,85544,Pine
231,USC00024453,86324,Clarkdale
232,USC00024586,86034,Keams
233,USC00024590,85137,Kearny
234,USC00024645,86401,Kingman
235,USC00024675,85634,Sells
236,USC00024686,86505,Ganado
237,USC00024702,85356,Wellton
238,USC00024759,86403,Lake
239,USC00024761,86403,Lake
240,USC00024829,85048,Phoenix
241,USC00024849,86036,Marble
242,USC00024977,85395,Goodyear
243,USC00025129,86507,Lukachukai
244,USC00025270,85339,Laveen
245,USC00025412,85901,Show
246,USC00025418,85617,Mc
247,USC00025426,86444,Meadview
248,USC00025467,85201,Mesa
249,USC00025512,85539,Miami
250,USC00025635,86322,Camp
251,USC00025665,86033,Kayenta
252,USC00025700,85264,Fort
253,USC00025780,86001,Flagstaff
254,USC00025825,85544,Pine
255,USC00025908,85747,Tucson
256,USC00025924,85648,Rio
257,USC00026037,86336,Sedona
258,USC00026119,85623,Oracle
259,USC00026132,00014,West
260,USC00026180,86040,Page
261,USC00026190,86502,Chambers
262,USC00026194,85326,Buckeye
263,USC00026242,85632,San
264,USC00026250,85344,Parker
265,USC00026282,85624,Patagonia
266,USC00026328,86434,Peach
